"Freq [kHz]"	"Leakage_Inductance_12 []"	"Leakage_Inductance_13 []"	"Leakage_Inductance_14 []"	"Leakage_Inductance_23 []"	"Leakage_Inductance_24 []"	"Leakage_Inductance_34 []"
1	0.00012283257991137	0.000122802145370995	0.000122829488450777	2.25681382215962e-05	2.25620594209004e-05	1.00292197595059e-05
2.15443469003188	0.000122852097886255	0.000122821663439174	0.000122849006425859	2.25717231008784e-05	2.25656442928801e-05	1.00308129703924e-05
4.64158883361278	0.0001228941332091	0.000122863699205072	0.000122891041745829	2.25794436184469e-05	2.25733647752923e-05	1.00342439909897e-05
10	0.000122984628129785	0.000122954196195961	0.000122981536642498	2.25960639502146e-05	2.25899849410805e-05	1.004162932358e-05
21.5443469003188	0.000123179311908919	0.000123148889450036	0.000123176220239451	2.26318168539372e-05	2.2625737067993e-05	1.00575128263918e-05
46.4158883361278	0.000123597898097566	0.000123567516275625	0.000123594804766542	2.27086784440491e-05	2.27025950997044e-05	1.00916463733671e-05
100	0.000124495870246824	0.000124465630064548	0.000124492763133796	2.28735505814364e-05	2.28674530702892e-05	1.01648428756547e-05
215.443469003188	0.000126186974401349	0.000126157042057339	0.000126183797819608	2.31840464306816e-05	2.31779130694707e-05	1.03027112221255e-05
464.158883361278	0.000129926240699483	0.000129896609286791	0.000129922884130946	2.38706604078494e-05	2.38644842055279e-05	1.06077864526592e-05
500	0.000130549841152674	0.00013052023047891	0.000130546462145372	2.39851782121761e-05	2.39789984752418e-05	1.06586795848628e-05
1000	0.000153633932523379	0.000153604483458318	0.000153630346291719	2.82249347157312e-05	2.82187293149319e-05	1.25430008155648e-05
